Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
lyft,lift
grep
ripgrep
com
tmux,teemux
PTAL,petal
amundsen
waypoint
fastpass
pr
dynamex
tcs
drilldown
bool
fmt,fumpt
queue,cu
queue,cue
queue
kibana
kibana,cabana
ridesapi
tmp,tempter
impl,impale
impls,impulse
struct,struck
idl
doc,dock
docs,docks
sev
json
stat-sig,stat sig
cli
tech,tack
tech,tax
spec
refactorator
ghostmatching
Titouan
Hoyt
Shreya
Srishti
vim
Rachita
diff,deaf
nit
FOMO
HVM
Nico
geohash
Juchuan
Abhinav
stat
protos
mod
util,you till
utils,you tills
cursorless
vscode,V S code
